Date,Open,High,Low,Close,Adj Close,Volume
2010-02-11,43.029999,43.790001,42.759998,43.669998,39.247215,93050800
2010-02-12,43.279999,43.880001,43.16,43.759998,39.328094,93938500
2010-02-16,44.080002,44.349998,43.849998,44.32,39.831379,83861400
2010-02-17,44.52,44.57,44.259998,44.57,40.056072,82691700
2010-02-18,44.540001,44.93,44.450001,44.849998,40.307701,65752600
2010-02-19,44.73,45.049999,44.619999,44.830002,40.289738,80416500
2010-02-22,45.009998,45.029999,44.560001,44.740002,40.208836,72055000
2010-02-23,44.709999,44.740002,43.950001,44.16,39.687584,95814400
2010-02-24,44.389999,44.790001,44.32,44.610001,40.092022,86591000
2010-02-25,44.139999,44.700001,43.830002,44.599998,40.083031,97961300
2010-02-26,44.59,44.860001,44.400002,44.759998,40.226818,66222400
2010-03-01,44.959999,45.490002,44.950001,45.41,40.810989,77290100
2010-03-02,45.57,45.849998,45.450001,45.549999,40.93681,76368500
2010-03-03,45.66,45.82,45.43,45.599998,40.981758,65735500
2010-03-04,45.630001,45.810001,45.400002,45.75,41.116562,54470900
2010-03-05,46.09,46.540001,45.990002,46.439999,41.736671,68136300
2010-03-08,46.459999,46.639999,46.439999,46.529999,41.817551,58712400
2010-03-09,46.43,47.049999,46.400002,46.790001,42.051224,98002800
2010-03-10,46.82,47.279999,46.799999,47.169998,42.392754,102578900
2010-03-11,47.060001,47.349998,46.98,47.349998,42.554508,67510300
2010-03-12,47.5,47.529999,47.099998,47.360001,42.563496,64068300
2010-03-15,47.259998,47.380001,46.91,47.240002,42.45565,60150500
2010-03-16,47.389999,47.610001,47.23,47.540001,42.725258,74950600
2010-03-17,47.610001,47.900002,47.529999,47.669998,42.842106,75643500
2010-03-18,47.709999,47.880001,47.599998,47.830002,42.985893,77829400
2010-03-19,47.919998,47.950001,47.32,47.490002,42.725887,86337100
2010-03-22,47.299999,48.110001,47.25,47.919998,43.112755,71902800
2010-03-23,47.990002,48.299999,47.77,48.25,43.409649,59182600
2010-03-24,48.169998,48.169998,47.91,48.02,43.202717,62995700
2010-03-25,48.419998,48.599998,47.900002,47.950001,43.13974,76294800
2010-03-26,48.150002,48.330002,47.740002,48,43.184734,78067900
2010-03-29,48.240002,48.400002,48.099998,48.23,43.391644,57993300
2010-03-30,48.380001,48.549999,48.060001,48.389999,43.535606,49437300
2010-03-31,48.240002,48.450001,48.07,48.16,43.328663,59947400
2010-04-01,48.360001,48.700001,47.790001,48.16,43.328663,83728600
2010-04-05,48.27,48.720001,48.139999,48.610001,43.733532,56220300
2010-04-06,48.5,48.900002,48.389999,48.75,43.859486,54097100
2010-04-07,48.68,48.869999,48.369999,48.630001,43.751518,77211500
2010-04-08,48.490002,48.82,48.240002,48.740002,43.850479,68314300
2010-04-09,48.75,49.049999,48.630001,49.029999,44.111401,54227300
2010-04-12,49.049999,49.200001,48.939999,49.07,44.147381,44280600
2010-04-13,49.02,49.349998,48.860001,49.32,44.372295,59376000
2010-04-14,49.580002,49.919998,49.5,49.91,44.903126,69004800
2010-04-15,49.869999,50.189999,49.869999,50.130001,45.101055,72254200
2010-04-16,49.950001,50.119999,49.200001,49.529999,44.56123,127388000
2010-04-19,49.349998,49.66,48.900002,49.5,44.534245,98251700
2010-04-20,49.77,49.880001,49.43,49.75,44.759159,69543700
2010-04-21,50.09,50.189999,49.720001,50.029999,45.011078,74748700
2010-04-22,49.549999,50.360001,49.259998,50.310001,45.263004,110477200
2010-04-23,50.299999,50.57,50.09,50.52,45.45192,77205200
2010-04-26,50.57,50.650002,50.299999,50.41,45.352959,67361000
2010-04-27,50.209999,50.43,49.209999,49.34,44.390305,112608000
2010-04-28,49.599998,49.630001,48.98,49.369999,44.417294,130082100
2010-04-29,49.650002,50.330002,49.610001,50.23,45.191013,84180200
2010-04-30,50.209999,50.290001,49.200001,49.240002,44.300331,110897000
2010-05-03,49.450001,50.169998,49.43,49.93,44.921112,74169700
2010-05-04,49.32,49.32,48.080002,48.43,43.57159,141136500
2010-05-05,47.919998,48.5,47.639999,48.18,43.346668,128560200
2010-05-06,47.849998,48.32,42.639999,46.57,41.898186,274356800
2010-05-07,46.220001,46.799999,44.279999,45.41,40.854549,288200400
2010-05-10,47.43,47.799999,47.310001,47.77,42.977798,136041600
2010-05-11,47.290001,48.389999,47.200001,47.720001,42.932812,113016100
2010-05-12,47.98,48.66,47.900002,48.619999,43.742535,85462400
2010-05-13,48.41,48.790001,47.73,47.849998,43.049782,102844300
2010-05-14,47.490002,47.52,46.380001,46.93,42.222065,147386100
2010-05-17,47.02,47.27,46.07,47.080002,42.357018,120969600
2010-05-18,47.48,47.580002,46.220001,46.43,41.772224,153072100
2010-05-19,46.259998,46.630001,45.549999,46.060001,41.439335,159000300
2010-05-20,45.16,45.279999,44.25,44.349998,39.900887,189289800
2010-05-21,43.66,45.639999,43.490002,44.84,40.341736,190631100
2010-05-24,44.82,45.330002,44.639999,44.66,40.179768,113038000
2010-05-25,43.68,44.759998,43.23,44.700001,40.215771,155643000
2010-05-26,45.009998,45.57,44.119999,44.200001,39.76593,140203200
2010-05-27,45.200001,45.889999,45.09,45.869999,41.268391,110671600
2010-05-28,45.950001,45.990002,45.200001,45.599998,41.02549,128535300
2010-06-01,45.43,46.25,45.130001,45.18,40.647629,104242700
2010-06-02,45.439999,46.279999,45.130001,46.25,41.610271,97249300
2010-06-03,46.380001,46.77,46.080002,46.689999,42.006142,98928400
2010-06-04,45.700001,46.290001,44.939999,45.09,40.56665,112849900
2010-06-07,45.32,45.459999,44.220001,44.27,39.828911,88436600
2010-06-08,44.349998,44.48,43.59,44.189999,39.756931,133030100
2010-06-09,44.5,44.91,43.689999,43.82,39.424042,101949200
2010-06-10,44.360001,45.119999,44.240002,45.07,40.54866,76892300
2010-06-11,44.610001,45.540001,44.610001,45.5,40.935516,74346800
2010-06-14,45.919998,46.240002,45.41,45.490002,40.926517,68085000
2010-06-15,45.73,46.77,45.450001,46.709999,42.024132,76332600
2010-06-16,46.580002,47.139999,46.5,46.900002,42.195072,78399700
2010-06-17,47.16,47.18,46.639999,47.049999,42.330025,77111900
2010-06-18,47.049999,47.34,46.860001,47,42.365185,75921400
2010-06-21,47.599998,47.68,46.330002,46.599998,42.004616,95488100
2010-06-22,46.799999,47.139999,46.150002,46.240002,41.68013,94493400
2010-06-23,46.290001,46.470001,45.689999,46.049999,41.508865,92397600
2010-06-24,45.849998,45.990002,45.200001,45.349998,40.877899,114145900
2010-06-25,45.509998,45.66,44.950001,45.27,40.886032,88740300
2010-06-28,45.27,45.549999,44.810001,45.110001,40.74152,71350000
2010-06-29,44.419998,44.459999,43.07,43.369999,39.170025,136384200
2010-06-30,43.23,43.669998,42.639999,42.709999,38.573921,101313200
2010-07-01,42.84,42.959999,41.77,42.59,38.465561,158695000
2010-07-02,42.66,42.82,42.09,42.470001,38.357185,78565300
2010-07-06,43.099998,43.369999,42.25,42.599998,38.474583,88591900
2010-07-07,42.740002,44.009998,42.700001,43.959999,39.702881,72448400
2010-07-08,44.310001,44.380001,43.68,44.200001,39.919643,78264600
2010-07-09,44.18,44.630001,44.080002,44.619999,40.298973,47851200
2010-07-12,44.580002,45.029999,44.459999,44.75,40.416378,60927500
2010-07-13,45.139999,45.5,44.799999,45.330002,40.940208,93310500
2010-07-14,45.419998,45.810001,45.240002,45.560001,41.147934,87687100
2010-07-15,45.470001,45.740002,44.990002,45.599998,41.184067,95992500
2010-07-16,45.439999,45.630001,44.299999,44.34,40.046093,98831900
2010-07-19,44.470001,44.810001,44.099998,44.720001,40.389286,81800800
2010-07-20,44,45.259998,43.860001,45.259998,40.876991,89061200
2010-07-21,45.740002,45.759998,44.560001,44.639999,40.317032,83577000
2010-07-22,45.27,45.98,45.240002,45.77,41.337601,82890300
2010-07-23,45.459999,46.099998,45.380001,46.060001,41.59951,81056100
2010-07-26,46.119999,46.459999,45.91,46.439999,41.942722,64850900
2010-07-27,46.639999,46.720001,46.209999,46.419998,41.924652,67655600
2010-07-28,46.369999,46.580002,45.880001,46.049999,41.590485,51988200
2010-07-29,46.32,46.41,45.25,45.709999,41.283421,85669500
2010-07-30,45.330002,46.09,45.07,45.810001,41.373734,98958100
2010-08-02,46.389999,46.790001,46.209999,46.669998,42.150433,68706800
2010-08-03,46.639999,46.700001,46.25,46.470001,41.969818,60856600
2010-08-04,46.68,46.990002,46.5,46.939999,42.394306,43820600
2010-08-05,46.709999,46.919998,46.52,46.830002,42.294949,39150200
2010-08-06,46.32,46.849998,46.049999,46.759998,42.231739,71339200
2010-08-09,47,47.189999,46.790001,47.080002,42.520741,26927600
2010-08-10,46.700001,46.950001,46.279999,46.669998,42.150433,86694500
2010-08-11,45.900002,45.919998,45.209999,45.400002,41.003445,92219700
2010-08-12,44.529999,45.240002,44.450001,45.040001,40.678295,66000200
2010-08-13,44.869999,45.060001,44.709999,44.720001,40.389286,46387300
2010-08-16,44.5,45.110001,44.299999,44.799999,40.461533,55472900
2010-08-17,45.119999,45.779999,45.029999,45.369999,40.976341,56927100
2010-08-18,45.279999,45.82,45.110001,45.549999,41.138897,61835400
2010-08-19,45.279999,45.459999,44.560001,44.860001,40.515739,82969500
2010-08-20,44.790001,45.029999,44.540001,44.919998,40.56992,65806700
2010-08-23,45.200001,45.34,44.459999,44.48,40.172539,69612200
2010-08-24,43.970001,44.119999,43.470001,43.650002,39.422913,79095800
2010-08-25,43.34,44.259998,43.27,44.07,39.802231,87247900
