Date,Open,High,Low,Close,Adj Close,Volume
2010-02-11,0.100000,0.100000,0.090000,0.095000,0.095000,0
2010-02-12,0.090000,0.095000,0.085000,0.090000,0.090000,0
2010-02-14,null,null,null,null,null,null
2010-02-16,0.090000,0.095000,0.075000,0.085000,0.085000,0
2010-02-17,0.095000,0.100000,0.080000,0.090000,0.090000,0
2010-02-18,0.090000,0.095000,0.085000,0.085000,0.085000,0
2010-02-19,0.095000,0.100000,0.090000,0.095000,0.095000,0
2010-02-21,null,null,null,null,null,null
2010-02-22,0.095000,0.100000,0.075000,0.085000,0.085000,0
2010-02-23,0.090000,0.130000,0.080000,0.115000,0.115000,0
2010-02-24,0.115000,0.115000,0.110000,0.110000,0.110000,0
2010-02-25,0.110000,0.120000,0.110000,0.115000,0.115000,0
2010-02-26,0.115000,0.120000,0.115000,0.115000,0.115000,0
2010-02-28,null,null,null,null,null,null
2010-03-01,0.125000,0.125000,0.120000,0.120000,0.120000,0
2010-03-02,0.125000,0.125000,0.120000,0.125000,0.125000,0
2010-03-03,0.130000,0.135000,0.125000,0.135000,0.135000,0
2010-03-04,0.135000,0.135000,0.135000,0.135000,0.135000,0
2010-03-05,0.135000,0.150000,0.135000,0.145000,0.145000,0
2010-03-07,null,null,null,null,null,null
2010-03-08,0.145000,0.150000,0.145000,0.145000,0.145000,0
2010-03-09,0.150000,0.150000,0.150000,0.150000,0.150000,0
2010-03-10,0.145000,0.150000,0.145000,0.145000,0.145000,0
2010-03-11,0.150000,0.150000,0.140000,0.145000,0.145000,0
2010-03-12,0.145000,0.150000,0.140000,0.140000,0.140000,0
2010-03-14,null,null,null,null,null,null
2010-03-15,0.145000,0.150000,0.145000,0.145000,0.145000,0
2010-03-16,0.160000,0.160000,0.130000,0.155000,0.155000,0
2010-03-17,0.155000,0.160000,0.145000,0.150000,0.150000,0
2010-03-18,0.145000,0.150000,0.135000,0.145000,0.145000,0
2010-03-19,0.145000,0.150000,0.135000,0.145000,0.145000,0
2010-03-21,null,null,null,null,null,null
2010-03-22,0.150000,0.150000,0.140000,0.140000,0.140000,0
2010-03-23,0.140000,0.140000,0.125000,0.130000,0.130000,0
2010-03-24,0.135000,0.140000,0.130000,0.135000,0.135000,0
2010-03-25,0.130000,0.135000,0.125000,0.130000,0.130000,0
2010-03-26,0.135000,0.135000,0.130000,0.130000,0.130000,0
2010-03-28,null,null,null,null,null,null
2010-03-29,0.130000,0.130000,0.115000,0.125000,0.125000,0
2010-03-30,0.145000,0.150000,0.145000,0.150000,0.150000,0
2010-03-31,0.145000,0.155000,0.145000,0.150000,0.150000,0
2010-04-01,0.150000,0.155000,0.145000,0.150000,0.150000,0
2010-04-04,null,null,null,null,null,null
2010-04-05,0.155000,0.165000,0.155000,0.160000,0.160000,0
2010-04-06,0.165000,0.170000,0.165000,0.165000,0.165000,0
2010-04-07,0.165000,0.165000,0.160000,0.160000,0.160000,0
2010-04-08,0.160000,0.160000,0.155000,0.155000,0.155000,0
2010-04-09,0.150000,0.155000,0.145000,0.150000,0.150000,0
2010-04-11,null,null,null,null,null,null
2010-04-12,0.150000,0.150000,0.130000,0.135000,0.135000,0
2010-04-13,0.145000,0.155000,0.145000,0.150000,0.150000,0
2010-04-14,0.150000,0.155000,0.150000,0.155000,0.155000,0
2010-04-15,0.155000,0.155000,0.150000,0.150000,0.150000,0
2010-04-16,0.150000,0.155000,0.145000,0.150000,0.150000,0
2010-04-18,null,null,null,null,null,null
2010-04-19,0.145000,0.150000,0.145000,0.150000,0.150000,0
2010-04-20,0.145000,0.150000,0.145000,0.145000,0.145000,0
2010-04-21,0.145000,0.150000,0.145000,0.145000,0.145000,0
2010-04-22,0.145000,0.150000,0.145000,0.150000,0.150000,0
2010-04-23,0.150000,0.155000,0.145000,0.155000,0.155000,0
2010-04-25,null,null,null,null,null,null
2010-04-26,0.150000,0.155000,0.150000,0.150000,0.150000,0
2010-04-27,0.145000,0.150000,0.140000,0.145000,0.145000,0
2010-04-28,0.145000,0.160000,0.145000,0.155000,0.155000,0
2010-04-29,0.155000,0.160000,0.155000,0.160000,0.160000,0
2010-04-30,0.155000,0.160000,0.155000,0.155000,0.155000,0
2010-05-02,null,null,null,null,null,null
2010-05-03,0.155000,0.160000,0.155000,0.160000,0.160000,0
2010-05-04,0.160000,0.160000,0.155000,0.155000,0.155000,0
2010-05-05,0.155000,0.155000,0.135000,0.145000,0.145000,0
2010-05-06,0.140000,0.140000,0.080000,0.100000,0.100000,0
2010-05-07,0.105000,0.125000,0.105000,0.120000,0.120000,0
2010-05-09,null,null,null,null,null,null
2010-05-10,0.140000,0.145000,0.115000,0.145000,0.145000,0
2010-05-11,0.145000,0.155000,0.145000,0.150000,0.150000,0
2010-05-12,0.155000,0.155000,0.150000,0.150000,0.150000,0
2010-05-13,0.155000,0.160000,0.155000,0.155000,0.155000,0
2010-05-14,0.155000,0.155000,0.135000,0.145000,0.145000,0
2010-05-16,null,null,null,null,null,null
2010-05-17,0.150000,0.150000,0.135000,0.150000,0.150000,0
2010-05-18,0.160000,0.170000,0.160000,0.165000,0.165000,0
2010-05-19,0.165000,0.165000,0.160000,0.165000,0.165000,0
2010-05-20,0.160000,0.160000,0.150000,0.155000,0.155000,0
2010-05-21,0.150000,0.155000,0.135000,0.150000,0.150000,0
2010-05-23,null,null,null,null,null,null
2010-05-24,0.155000,0.155000,0.145000,0.150000,0.150000,0
2010-05-25,0.155000,0.165000,0.145000,0.160000,0.160000,0
2010-05-26,0.160000,0.165000,0.160000,0.160000,0.160000,0
2010-05-27,0.155000,0.165000,0.155000,0.160000,0.160000,0
2010-05-28,0.160000,0.160000,0.150000,0.150000,0.150000,0
2010-05-30,null,null,null,null,null,null
2010-06-01,0.155000,0.155000,0.145000,0.145000,0.145000,0
2010-06-02,0.150000,0.155000,0.140000,0.145000,0.145000,0
2010-06-03,0.135000,0.140000,0.125000,0.130000,0.130000,0
2010-06-04,0.130000,0.130000,0.120000,0.120000,0.120000,0
2010-06-06,null,null,null,null,null,null
2010-06-07,0.120000,0.125000,0.105000,0.105000,0.105000,0
2010-06-08,0.115000,0.115000,0.110000,0.110000,0.110000,0
2010-06-09,0.100000,0.100000,0.095000,0.095000,0.095000,0
